"volume","interment id","message"
"09","69444","Has an infant name but is missing last name"
"09","69450","Has an infant name but is missing last name"
"09","69457","Has an infant name but is missing last name"
"09","69471","Unable geocode residence place: South 3Rd 312 Brooklyn New York United States"
"09","69473","Has an infant name but is missing last name"
"09","69495","Has an infant name but is missing last name"
"09","69501","Has an infant name but is missing last name"
"09","69519","Has an infant name but is missing last name"
"09","69530","Unable geocode residence place: Carl 82 Brooklyn New York United States"
"09","69551","Has an infant name but is missing last name"
"09","69555","Unable to parse death date: June 0, 1859"
"09","69556","Unable to parse death date: June 0, 1859"
"09","69558","Has an infant name but is missing last name"
"09","69567","Unable geocode residence place: Centre 255   Astria L J"
"09","69569","Has an infant name but is missing last name"
"09","69576","Has an infant name but is missing last name"
"09","69583","Has an infant name but is missing last name"
"09","69610","Has an infant name but is missing last name"
"09","69809","Has an infant name but is missing last name"
"09","69816","Has an infant name but is missing last name"
"09","69622","Has an infant name but is missing last name"
"09","69640","Has an infant name but is missing last name"
"09","69641","Has an infant name but is missing last name"
"09","69644","Has an infant name but is missing last name"
"09","69657","Unable geocode residence place: Greene 97  New York United States"
"09","69666","Has an infant name but is missing last name"
"09","69688","Unable geocode residence place: West 25Th 124  New York United States"
"09","69714","Has an infant name but is missing last name"
"09","69730","Has an infant name but is missing last name"
"09","69743","Has an infant name but is missing last name"
"09","69752","Has an infant name but is missing last name"
"09","69768","Has an infant name but is missing last name"
"09","69801","Has an infant name but is missing last name"
"09","69820","Has an infant name but is missing last name"
"09","69823","Has an infant name but is missing last name"
"09","69823","Unable geocode residence place: Second 175 Brooklyn New York United States"
"09","69827","Has an infant name but is missing last name"
"09","69843","Has an infant name but is missing last name"
"09","69853","Has an infant name but is missing last name"
"09","69872","Has an infant name but is missing last name"
"09","69874","Has an infant name but is missing last name"
"09","69875","Has an infant name but is missing last name"
"09","70123","Has an infant name but is missing last name"
"09","69895","Has an infant name but is missing last name"
"09","69900","Has an infant name but is missing last name"
"09","69908","Has an infant name but is missing last name"
"09","69909","Has an infant name but is missing last name"
"09","69921","Has an infant name but is missing last name"
"09","69951","Has an infant name but is missing last name"
"09","69967","Has an infant name but is missing last name"
"09","69968","Has an infant name but is missing last name"
"09","69988","Has an infant name but is missing last name"
"09","69991","Has an infant name but is missing last name"
"09","69992","Has an infant name but is missing last name"
"09","69996","Has an infant name but is missing last name"
"09","70033","Has an infant name but is missing last name"
"09","70035","Has an infant name but is missing last name"
"09","70035","Unable geocode residence place: Columbia 85  New York United States"
"09","70044","Has an infant name but is missing last name"
"09","70052","Has an infant name but is missing last name"
"09","70078","Has an infant name but is missing last name"
"09","70085","Has an infant name but is missing last name"
"09","70086","Unable geocode residence place: Adelphic 70 Brooklyn New York United States"
"09","70110","Has an infant name but is missing last name"
"09","70136","Has an infant name but is missing last name"
"09","70147","Has an infant name but is missing last name"
"09","70156","Has an infant name but is missing last name"
"09","70184","Has an infant name but is missing last name"
"09","70188","Has an infant name but is missing last name"
"09","70194","Has an infant name but is missing last name"
"09","70203","Has an infant name but is missing last name"
"09","70231","Has an infant name but is missing last name"
"09","70232","Has an infant name but is missing last name"
"09","70234","Has an infant name but is missing last name"
"09","70242","Has an infant name but is missing last name"
"09","70252","Has an infant name but is missing last name"
"09","70257","Unable geocode residence place: Avenue A 198  New York United States"
"09","70274","Has an infant name but is missing last name"
"09","70277","Unable geocode residence place: West 31St 125  New York United States"
"09","70294","Has an infant name but is missing last name"
"09","70327","Has an infant name but is missing last name"
"09","70335","Has an infant name but is missing last name"
"09","70351","Unable geocode residence place: Third Av 395  New York United States"
"09","70365","Has an infant name but is missing last name"
"09","70406","Has an infant name but is missing last name"
"09","70410","Has an infant name but is missing last name"
"09","70419","Has an infant name but is missing last name"
"09","70430","Has an infant name but is missing last name"
"09","70440","Has an infant name but is missing last name"
"09","70442","Unable geocode residence place: Asylum Bloomingdale  United States"
"09","70450","Has an infant name but is missing last name"
"09","70452","Has an infant name but is missing last name"
"09","70466","Unable geocode residence place: East 22Nd 105  New York United States"
"09","70516","Has an infant name but is missing last name"
"09","70518","Has an infant name but is missing last name"
"09","70520","Has an infant name but is missing last name"
"09","70527","Has an infant name but is missing last name"
"09","70530","Has an infant name but is missing last name"
"09","70531","Has an infant name but is missing last name"
"09","70541","Has an infant name but is missing last name"
"09","70568","Has an infant name but is missing last name"
