"volume","interment id","message"
"07","50251","Has an infant name but is missing last name"
"07","50321","Has an infant name but is missing last name"
"07","50393","Unable geocode residence place: Sullivan 156  New York United States"
"07","50451","Has a marital status of: Widpwed"
"07","50489","Has a marital status of: Widwoed"
"07","50519","Unable geocode residence place: Laurens 6  New York United States"
"07","50748","Unable geocode residence place: Pett 132  New York United States"
"07","50880","Unable geocode residence place: Steamer Erricson At Sea  United States"
"07","51051","Has a marital status of: Widwoed"
"07","51219","Unable geocode residence place: West 26Th 206   United States"
"07","51457","Unable to parse death date: November 0, 1856"
"07","51632","Unable geocode residence place: 3Rd Ave 397   United States"
"07","51825","Unable geocode residence place: West 17Th 37  New York United States"
"07","52275","Unable geocode residence place: Clinton 157  New York United States"
"07","52856","Has a marital status of: Marrried"
"07","52857","Has a marital status of: Marrried"
"07","52861","Has a marital status of: Marrried"
"07","52870","Has a marital status of: Marrried"
"07","52876","Has a marital status of: 5 hours"
"07","52890","Has a marital status of: 3 minutess"
"07","53359","Has an infant name but is missing last name"
"07","53463","Has an infant name but is missing last name"
"07","53476","Has an infant name but is missing last name"
"07","53518","Has an infant name but is missing last name"
"07","53548","Has an infant name but is missing last name"
"07","53549","Has an infant name but is missing last name"
"07","53551","Has an infant name but is missing last name"
"07","53552","Has an infant name but is missing last name"
"07","53565","Has an infant name but is missing last name"
"07","53566","Has an infant name but is missing last name"
"07","53632","Unable geocode residence place: Cor Park & Adelphi  New York United States"
"07","53964","Unable geocode residence place: Hammond 63  New York United States"
"07","54148","Has a marital status of: Widowee"
"07","54152","Unable to parse death date: November 0, 1856"
"07","54261","Unable geocode residence place: Corner Parker & Clermont Av  New York United States"
"07","54329","Unable geocode residence place: Greene 209 1/2  New York United States"
"07","54547","Unable geocode residence place: West 39Th 205  New York United States"
"07","54621","Unable geocode residence place: Greene 97  New York United States"
"07","54676","Unable geocode residence place: Morris 2  New York United States"
"07","54701","Unable geocode residence place: Sullivan 156  New York United States"
"07","54766","Has a marital status of: 20 hours"
"07","54801","Unable geocode residence place: Gold 100  New York United States"
"07","54831","Has an infant name but is missing last name"
"07","54915","Unable geocode residence place: Gold 315  New York United States"
"07","55026","Unable geocode residence place: Asylum  Bloomingdale United States"
"07","55131","Unable geocode residence place: Sullivan 156  New York United States"
"07","55243","Unable geocode residence place: Cherry 476   United States"
"07","55271","Unable geocode residence place: Asylum  Bloomingdale United States"
"07","55464","Unable geocode residence place: 3Rd Ab 236  New York United States"
"07","55536","Has a marital status of: 9 hours"
"07","55749","Unable geocode birth place: Harlen"
"07","55970","Has a marital status of: 21 hours"
"07","56134","Unable geocode residence place: East 35Th 131  New York United States"
"07","56151","Unable geocode residence place: Hammond 116  New York United States"
"07","56242","Has a marital status of: 15 hours"
"07","56398","Has a marital status of: 1 1/2 hours"
"07","56399","Has a marital status of: 1 1/2 hours"
"07","56518","Unable geocode residence place: Hammond 124  New York United States"
"07","56637","Has a marital status of: 15 minute"
"07","56815","Has a marital status of: Widwoed"
"07","56987","Has a marital status of: Fm cemetery"
"07","56941","Has a marital status of: Fm cemetery"
"07","57250","Has a marital status of: Windowed"
"07","57251","Has a marital status of: Windowed"
"07","57315","Unable geocode residence place: Harts Comers   United States"
"07","57369","Unable geocode residence place: West 39Th 205  New York United States"
"07","58072","Has a marital status of: 5 hours"
"07","58090","Unable geocode residence place: West 17Th 37  New York United States"
"07","58097","Unable geocode residence place: Water 306  New York United States"
"07","58793","Unable geocode residence place: Hoyt Neer State  New York United States"
